asvLen	totReads	numSamps
ASV.976	145	35	3
ASV.977	57	35	2
ASV.979	272	35	1
ASV.980	165	35	1
ASV.981	50	35	1
ASV.982	36	35	1
ASV.983	54	35	4
ASV.984	190	35	1
ASV.986	133	35	1
ASV.987	115	35	1
ASV.988	209	35	1
ASV.989	328	34	1
ASV.990	174	34	1
ASV.991	111	34	1
ASV.992	121	34	2
ASV.993	40	34	1
ASV.994	142	34	2
ASV.995	298	34	1
ASV.997	328	34	1
ASV.998	103	34	1
ASV.1000	328	33	1
ASV.1001	77	33	2
ASV.1002	46	33	2
ASV.1003	88	33	1
ASV.1004	153	33	2
ASV.1005	194	33	2
ASV.1006	111	33	1
ASV.1007	149	33	2
ASV.1013	328	32	1
ASV.1014	85	32	4
ASV.1015	95	32	4
ASV.1016	57	32	1
ASV.1018	295	32	1
ASV.1020	391	32	1
ASV.1022	63	31	1
ASV.1023	41	31	4
ASV.1024	113	31	2
ASV.1025	287	31	1
ASV.1026	298	31	1
ASV.1027	157	31	2
ASV.1028	250	31	1
ASV.1029	261	31	1
ASV.1030	62	31	3
ASV.1031	111	31	2
ASV.1032	121	31	2
ASV.1034	100	31	1
ASV.1035	43	30	4
ASV.1036	214	30	1
ASV.1038	328	30	1
ASV.1039	328	30	1
ASV.1040	64	30	1
ASV.1041	37	30	3
ASV.1042	98	30	1
ASV.1043	134	30	1
ASV.1044	94	30	1
ASV.1045	87	30	2
ASV.1046	190	30	2
ASV.1047	165	30	1
ASV.1050	295	30	1
ASV.1053	328	29	1
ASV.1054	87	29	2
ASV.1055	296	29	1
ASV.1056	92	29	1
ASV.1058	40	29	1
ASV.1059	112	29	1
ASV.1060	328	29	1
ASV.1061	212	29	1
ASV.1064	40	28	1
ASV.1065	194	28	1
ASV.1067	43	28	3
ASV.1068	133	28	1
ASV.1069	78	28	2
ASV.1070	97	28	1
ASV.1071	330	28	1
ASV.1072	169	28	3
ASV.1074	91	28	1
ASV.1075	176	28	2
ASV.1076	181	28	2
ASV.1077	102	28	1
ASV.1078	48	28	1
ASV.1079	169	28	2
ASV.1080	141	28	1
ASV.1081	56	27	1
ASV.1082	115	27	3
ASV.1083	62	27	3
ASV.1085	111	27	2
ASV.1086	171	27	1
ASV.1087	162	27	1
ASV.1088	109	27	1
ASV.1089	82	27	1
ASV.1091	163	27	2
ASV.1093	204	27	1
ASV.1094	254	27	1
ASV.1095	96	26	2
ASV.1096	295	26	1
ASV.1099	100	26	1
ASV.1100	188	26	2
ASV.1102	328	26	1
ASV.1104	141	26	1
ASV.1105	76	26	1
ASV.1106	60	26	3
ASV.1107	61	26	1
ASV.1108	50	26	1
ASV.1109	99	26	1
ASV.1110	397	26	1
ASV.1111	136	26	1
ASV.1112	173	26	2
ASV.1114	74	26	2
ASV.1115	83	26	2
ASV.1118	328	25	1
ASV.1119	181	25	1
ASV.1120	66	25	4
ASV.1121	107	25	1
ASV.1123	47	25	1
ASV.1124	94	25	4
ASV.1125	79	25	1
ASV.1127	205	25	1
ASV.1129	259	25	1
ASV.1130	180	25	1
ASV.1131	246	25	1
ASV.1132	151	25	1
ASV.1133	328	25	1
ASV.1134	146	25	1
ASV.1136	163	25	1
ASV.1137	88	25	1
ASV.1139	67	25	2
ASV.1141	40	25	1
ASV.1142	61	25	1
