SRR19399856	SRR19399857	SRR19399858	SRR19399859	SRR19399860	SRR19399861	SRR19399862	SRR19399863	SRR19399864	SRR19399865	SRR19399866	SRR19399867	SRR19399868	SRR19399869	SRR19399870	SRR19399871	SRR19399872	SRR19399873	SRR19399874	SRR19399875	SRR19399876	SRR19399877	SRR19399878	SRR19399879	SRR19399880	SRR19399881	SRR19399882	SRR19399883	SRR19399884
ASV.206	0	0	0	0	0	0	0	0	0	0	0	689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.207	0	0	0	0	0	0	0	10	0	0	0	153	0	28	0	29	0	110	357	0	0	0	0	0	0	0	0	0	0
ASV.209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	678	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.210	0	0	0	0	0	0	0	447	0	0	31	0	0	47	0	0	0	32	0	0	116	0	0	0	0	0	0	0	0
ASV.211	0	0	0	0	0	0	0	0	0	519	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.212	0	0	0	0	0	0	0	360	52	0	0	0	58	99	0	43	0	36	24	0	0	0	0	0	0	0	0	0	0
ASV.214	0	0	0	0	0	0	0	0	93	516	0	0	0	0	0	44	0	16	0	0	0	0	0	0	0	0	0	0	0
ASV.216	0	0	0	0	664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.217	0	0	0	0	0	0	0	200	0	0	0	0	0	0	0	0	0	287	170	0	0	0	0	0	0	0	0	0	0
ASV.218	0	0	0	0	0	0	0	0	40	219	0	0	0	0	0	0	0	337	50	0	0	0	0	0	0	0	0	0	0
ASV.219	0	0	0	0	0	0	0	41	9	29	0	156	160	0	0	15	0	21	164	49	0	0	0	0	0	0	0	0	0
ASV.220	0	643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.221	0	0	0	0	0	0	0	0	0	0	0	639	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.222	0	0	0	0	356	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	206	0	0	44	0	0	0	0	0
ASV.223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	532	0	0	0	0	0
ASV.224	0	0	0	0	0	0	0	305	0	0	0	0	0	0	0	125	0	89	107	0	0	0	0	0	0	0	0	0	0
ASV.225	0	0	0	0	0	0	0	0	0	0	0	535	84	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
ASV.226	0	0	0	0	0	0	0	623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	534	87	0	0	0	0	0	0	0	0	0	0
ASV.228	0	213	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0
ASV.229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	261	338	0	0	0	0	0	0	0	0	0	0
ASV.230	0	0	0	0	0	0	0	15	73	37	9	11	33	59	0	177	0	106	5	68	0	0	0	0	0	0	0	0	0
ASV.231	0	0	0	0	0	0	0	0	57	88	0	0	0	0	0	271	0	177	0	0	0	0	0	0	0	0	0	0	0
ASV.232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	164	0	0	429	0	0	0	0	0
ASV.233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	593	0	0	0	0
ASV.234	432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0
ASV.235	0	0	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	22	502	0	0	0	0	0	0	0	0	0	0
ASV.236	0	0	0	0	0	0	0	0	58	71	38	53	23	13	0	143	0	119	0	71	0	0	0	0	0	0	0	0	0
ASV.238	0	0	0	0	0	0	0	0	11	559	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.239	0	0	0	0	0	0	0	571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.241	0	0	0	0	0	0	0	0	15	51	11	273	177	0	0	15	0	0	0	26	0	0	0	0	0	0	0	0	0
ASV.242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	567	0	0	0	0	0	0	0	0	0	0
ASV.243	0	0	0	0	0	0	0	0	0	0	0	501	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	0
ASV.244	0	0	0	0	0	0	0	145	0	0	0	0	414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.247	0	0	0	0	0	0	0	0	147	231	0	65	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.248	0	0	0	0	0	0	0	0	249	0	0	0	0	0	0	299	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.249	0	0	0	0	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	161	0	0	0	0	0
ASV.250	0	0	0	0	0	0	0	0	8	0	0	190	0	0	0	332	0	15	0	0	0	0	0	0	0	0	0	0	0
ASV.251	0	0	0	0	0	0	0	0	0	0	0	505	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.252	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	498	0	0	0	0	0
ASV.253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	543	0	0	0	0	0	0	0	0	0	0
ASV.254	98	170	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	91	0	13	94	0
ASV.255	0	0	0	0	0	0	0	0	0	0	0	542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.257	0	383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156	0
ASV.258	0	0	0	0	0	0	0	0	13	186	0	0	339	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
