SRR11948576	SRR11948577	SRR11948578	SRR11948579	SRR11948580	SRR11948581	SRR11948582	SRR11948583	SRR11948584	SRR11948585	SRR11948586	SRR11948587	SRR11948588	SRR11948589
ASV.395	0	0	0	0	0	35	0	0	0	0	0	0	0	0
ASV.396	0	0	0	0	0	35	0	0	0	0	0	0	0	0
ASV.398	0	0	0	0	0	35	0	0	0	0	0	0	0	0
ASV.399	0	0	0	0	0	0	0	35	0	0	0	0	0	0
ASV.400	0	0	0	0	0	0	0	35	0	0	0	0	0	0
ASV.403	0	0	0	0	0	0	0	0	0	0	0	0	0	35
ASV.404	30	0	0	0	0	0	0	0	4	0	0	0	0	0
ASV.407	0	0	0	0	0	34	0	0	0	0	0	0	0	0
ASV.410	0	0	0	0	0	0	0	0	0	34	0	0	0	0
ASV.411	0	0	0	0	0	0	0	0	0	34	0	0	0	0
ASV.413	0	0	0	0	0	0	0	0	0	0	0	0	0	34
ASV.414	0	0	0	0	0	33	0	0	0	0	0	0	0	0
ASV.420	0	0	0	0	0	0	0	32	0	0	0	0	0	0
ASV.421	0	0	0	0	0	0	0	0	32	0	0	0	0	0
ASV.422	0	0	0	0	0	0	0	0	0	32	0	0	0	0
ASV.423	31	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV.425	0	0	0	0	0	31	0	0	0	0	0	0	0	0
ASV.428	0	20	0	0	0	0	0	0	10	0	0	0	0	0
ASV.432	0	0	0	0	0	30	0	0	0	0	0	0	0	0
ASV.433	0	0	0	0	0	30	0	0	0	0	0	0	0	0
ASV.434	0	0	0	0	0	30	0	0	0	0	0	0	0	0
ASV.436	0	0	0	0	0	0	0	30	0	0	0	0	0	0
ASV.440	0	0	0	0	0	0	0	0	0	0	0	0	0	30
ASV.443	0	0	0	0	0	0	0	0	0	29	0	0	0	0
ASV.444	0	0	0	0	0	0	0	0	0	29	0	0	0	0
ASV.446	0	0	0	0	0	28	0	0	0	0	0	0	0	0
ASV.447	0	0	0	0	0	28	0	0	0	0	0	0	0	0
ASV.449	0	0	0	0	0	0	0	0	28	0	0	0	0	0
ASV.450	0	0	0	0	0	0	0	0	0	0	0	0	0	28
ASV.451	0	0	0	0	0	0	0	0	0	0	0	0	0	28
ASV.452	0	27	0	0	0	0	0	0	0	0	0	0	0	0
ASV.453	0	0	0	27	0	0	0	0	0	0	0	0	0	0
ASV.455	0	0	0	0	0	27	0	0	0	0	0	0	0	0
ASV.457	0	0	0	0	0	27	0	0	0	0	0	0	0	0
ASV.458	0	0	0	0	0	0	0	27	0	0	0	0	0	0
ASV.461	0	0	0	0	0	0	0	0	0	0	0	0	0	27
ASV.463	8	0	0	0	0	0	0	0	18	0	0	0	0	0
ASV.465	0	0	0	3	0	23	0	0	0	0	0	0	0	0
ASV.467	0	0	0	0	0	0	0	26	0	0	0	0	0	0
